movie_id,date,daily_box_office
3,2017-08-15,8119.13
3,2017-08-16,7069.05
3,2017-08-17,5701.67
3,2017-08-18,5961.99
3,2017-08-19,8567.53
3,2017-08-20,8350.25
3,2017-08-21,4225.87
3,2017-08-22,3691.43
3,2017-08-23,3347.98
3,2017-08-24,3033.9
3,2017-08-25,2451.06
3,2017-08-26,3762.1
3,2017-08-27,4014.81
3,2017-08-28,5386.83
3,2017-08-29,2073.54
3,2017-08-30,1791.28
3,2017-08-31,1483.18
3,2017-09-01,1254.62
3,2017-09-02,2241.51
3,2017-09-03,1886.02
3,2017-09-04,798.3
3,2017-09-05,731.77
3,2017-09-06,705.47
3,2017-09-07,644.42
3,2017-09-08,532.42
3,2017-09-09,953.56
3,2017-09-10,866.22
3,2017-09-11,379.35
3,2017-09-12,362.43
3,2017-09-13,343.06
3,2017-09-14,341.63
3,2017-09-15,158.65
3,2017-09-16,301.29
3,2017-09-17,269.95
3,2017-09-18,141.11
3,2017-09-19,146.14
3,2017-09-20,150.16
3,2017-09-21,140.96
3,2017-09-22,108.58
3,2017-09-23,226.12
3,2017-09-24,215.39
3,2017-09-25,111.09
3,2017-09-26,116.62
3,2017-09-27,115.48
3,2017-09-28,115.12
3,2017-09-29,48.59
3,2017-09-30,13.8
3,2017-10-01,63.97
3,2017-10-02,114.87
3,2017-10-03,153.28
3,2017-10-04,181.77
3,2017-10-05,145.33
3,2017-10-06,139.76
3,2017-10-07,132.41
3,2017-10-08,98.32
3,2017-10-09,29.11
3,2017-10-10,30.31
3,2017-10-11,28.96
3,2017-10-12,26.6
3,2017-10-13,14.62
3,2017-10-14,32.2
3,2017-10-15,36.99
3,2017-10-16,18.53
3,2017-10-17,16.9
3,2017-10-18,18.56
3,2017-10-19,18.36
3,2017-10-20,11.25
3,2017-10-21,23.39
3,2017-10-22,23.43
3,2017-10-23,11.89
3,2017-10-24,12.51
3,2017-10-25,12.77
3,2017-10-26,13.29
3,2017-10-27,8.63
3,2017-10-28,17.21
4,2021-02-12,26739.47
4,2021-02-13,27649.83
4,2021-02-14,41587.33
4,2021-02-15,49113.89
4,2021-02-16,53985.84
4,2021-02-17,50580.87
4,2021-02-18,39145.49
4,2021-02-19,29871.25
4,2021-02-20,25999.12
4,2021-02-21,23870.86
4,2021-02-22,13163.99
4,2021-02-23,10900.74
4,2021-02-24,8966.24
4,2021-02-25,8049.57
4,2021-02-26,10785.18
4,2021-02-27,12172.78
4,2021-02-28,8562.86
4,2021-03-01,3333.89
4,2021-03-02,2884.71
4,2021-03-03,2430.08
4,2021-03-04,2167.94
4,2021-03-05,3049.11
4,2021-03-06,5852.74
4,2021-03-07,4607.56
4,2021-03-08,4218.73
4,2021-03-09,1422.76
4,2021-03-10,1229.6
4,2021-03-11,1099.33
4,2021-03-12,1537.71
4,2021-03-13,3141.31
4,2021-03-14,2411.96
4,2021-03-15,739.37
4,2021-03-16,695.55
4,2021-03-17,635.76
4,2021-03-18,590.56
4,2021-03-19,777.62
4,2021-03-20,1794.38
4,2021-03-21,1411.09
4,2021-03-22,471.49
4,2021-03-23,438.27
4,2021-03-24,401.33
4,2021-03-25,382.12
4,2021-03-26,443.82
4,2021-03-27,977.22
4,2021-03-28,738.54
4,2021-03-29,273.58
4,2021-03-30,270.74
4,2021-03-31,277.23
4,2021-04-01,258.59
4,2021-04-02,173.09
4,2021-04-03,262.03
4,2021-04-04,377.27
4,2021-04-05,230.64
4,2021-04-06,73.71
4,2021-04-07,72.26
4,2021-04-08,72.05
4,2021-04-09,60.84
4,2021-04-10,170.55
4,2021-04-11,161.58
4,2021-04-12,53.7
4,2021-04-13,59.14
4,2021-04-14,66.09
4,2021-04-15,68.13
4,2021-04-16,56.95
4,2021-04-17,76.01
4,2021-04-18,70.35
4,2021-04-19,30.21
4,2021-04-20,30.23
4,2021-04-21,30.68
4,2021-04-22,29.67
4,2021-04-23,30.6
4,2021-04-24,60.2
4,2021-04-25,40.56
4,2021-04-26,28.25
4,2021-04-27,28.82
4,2021-04-28,27.52
4,2021-04-29,26.8
4,2021-04-30,18.65
4,2021-05-01,2.87
4,2021-05-02,13.62
4,2021-05-03,18.84
4,2021-05-04,18.48
4,2021-05-05,11.61
4,2021-05-06,3.35
4,2021-05-07,4.97
4,2021-05-08,8.17
4,2021-05-09,40.82
4,2021-05-10,3.16
4,2021-05-11,2.38
4,2021-05-12,2.1
5,2019-07-26,13399.03
5,2019-07-27,21440.04
5,2019-07-28,26687.74
5,2019-07-29,17411.17
5,2019-07-30,17942.64
5,2019-07-31,18212.01
5,2019-08-01,16550.75
5,2019-08-02,18722.45
5,2019-08-03,31380.61
5,2019-08-04,31577.06
5,2019-08-05,15452.96
5,2019-08-06,14294.33
5,2019-08-07,23170.35
5,2019-08-08,11337.7
5,2019-08-09,10409.18
5,2019-08-10,16786.26
5,2019-08-11,16564.12
5,2019-08-12,8260.06
5,2019-08-13,7279.65
5,2019-08-14,6486.16
5,2019-08-15,5733.29
5,2019-08-16,6403.95
5,2019-08-17,10331.65
5,2019-08-18,10177.11
5,2019-08-19,5131.25
5,2019-08-20,4719.26
5,2019-08-21,4467.17
5,2019-08-22,4253.44
5,2019-08-23,3637.32
5,2019-08-24,5879.79
5,2019-08-25,5948.49
5,2019-08-26,3140.19
5,2019-08-27,2954.7
5,2019-08-28,2792.69
5,2019-08-29,2657.22
5,2019-08-30,2824.82
5,2019-08-31,4472.44
5,2019-09-01,3526.42
5,2019-09-02,986.86
5,2019-09-03,867.05
5,2019-09-04,780.18
5,2019-09-05,718.91
5,2019-09-06,1001.1
5,2019-09-07,2356.91
5,2019-09-08,1995.93
5,2019-09-09,526.22
5,2019-09-10,556.03
5,2019-09-11,473.99
5,2019-09-12,724.74
5,2019-09-13,2055.89
5,2019-09-14,2286.98
5,2019-09-15,1361.83
5,2019-09-16,302.87
5,2019-09-17,272.31
5,2019-09-18,257.73
5,2019-09-19,252.8
5,2019-09-20,268.68
5,2019-09-21,930.66
5,2019-09-22,838.86
5,2019-09-23,195.71
5,2019-09-24,186.1
5,2019-09-25,180.12
5,2019-09-26,168.65
5,2019-09-27,248.68
5,2019-09-28,461.93
5,2019-09-29,287.65
5,2019-09-30,18.24
5,2019-10-01,124.18
5,2019-10-02,240.62
5,2019-10-03,299.54
5,2019-10-04,332.56
5,2019-10-05,335.34
5,2019-10-06,308.25
5,2019-10-07,235.08
5,2019-10-08,31.03
5,2019-10-09,26.04
5,2019-10-10,25.86
5,2019-10-11,29.46
5,2019-10-12,28.2
5,2019-10-13,66.51
5,2019-10-14,8.67
5,2019-10-15,10.48
5,2019-10-16,6.78
5,2019-10-17,7.89
5,2019-10-18,2.46
5,2019-10-19,21.69
5,2019-10-20,25.15
5,2019-10-21,1.83
5,2019-10-22,1.94
5,2019-10-23,1.98
5,2019-10-24,4.38
5,2019-10-25,6.78
5,2019-10-26,15.61

6,2019-02-05,17888.41
6,2019-02-06,24265.05
6,2019-02-07,31816.85
6,2019-02-08,35944.44
6,2019-02-09,39020.52
6,2019-02-10,39071.04
6,2019-02-11,31846.61
6,2019-02-12,24125.57
6,2019-02-13,20195.61
